candidateId,firstName,lastName,email,status
30000001,Anan,Sukprasert,anan@example.com,studying
30000002,Nicha,Kittisak,nicha@example.com,graduated
30000003,Preecha,Chaiyasit,preecha@example.com,studying
30000004,Kamon,Thongchai,kamon@example.com,graduated
30000005,Supaporn,Meechai,supaporn@example.com,studying
30000006,Worapong,Sriwan,worapong@example.com,studying
30000007,Jirawan,Thongdee,jirawan@example.com,graduated
30000008,Pattarapong,Inthara,pattarapong@example.com,studying
30000009,Rungnapa,Kaewjai,rungnapa@example.com,studying
30000010,Thitipong,Srisuk,thitipong@example.com,graduated
